店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k1uvcA6GH4GzPk30,Apollo Planet 阿波罗星球冰淇淋(北京首店),355条评价,￥33,冰淇淋,常营,https://www.dianping.com/shop/k1uvcA6GH4GzPk30,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4Ub0gzKWOeuwXtK,吴裕泰(首开通州万象汇店),45条评价,￥12,茶饮果汁,通州区,https://www.dianping.com/shop/l4Ub0gzKWOeuwXtK,http://p1.meituan.net/poipicadd/d4504634e103c5028c81a3f2fc579b1e408628.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j88VjLlSA5PNQIcC,青初·QINGCHU(西单大悦城店),4023条评价,￥21,茶饮果汁,西单,https://www.dianping.com/shop/j88VjLlSA5PNQIcC,http://p0.meituan.net/biztone/90b35ac223fb1e6c137cf4ee2417527a669350.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2hMQzTmlihJZgrt,野人先生现做冰淇淋(首开通州万象汇店),318条评价,￥32,冰淇淋,通州区,https://www.dianping.com/shop/G2hMQzTmlihJZgrt,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H711XYI0ejFqMN9J,九十葉·抹茶专门店(北京·王府中环店),932条评价,￥47,冰淇淋,王府井/东单,https://www.dianping.com/shop/H711XYI0ejFqMN9J,https://img.meituan.net/content/7be9a5e6a958ed20f5e47e725d7004ad49627.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l2gcJPFXZEZnVPzQ,THE MATCHA TOKYO今抹京茶(西单更新场店),540条评价,￥36,茶饮果汁,西单,https://www.dianping.com/shop/l2gcJPFXZEZnVPzQ,https://img.meituan.net/content/ac72367e570d44abafbeb0774cf27ad4691127.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H1K7vsAPDlxPyt32,北平制冰厂(交道口店),2046条评价,￥25,冰淇淋,南锣鼓巷/鼓楼东大街,https://www.dianping.com/shop/H1K7vsAPDlxPyt32,http://p0.meituan.net/biztone/8ab24bb848b19bf5c8f929b12eb8e77a125749.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
FdkmlcR4IGnWigmY,Cutie Cones 蒙牛冰淇淋&牛奶工坊,2581条评价,￥38,冰淇淋,梨园,https://www.dianping.com/shop/FdkmlcR4IGnWigmY,http://p0.meituan.net/biztone/1754429806_1631956567697.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H4FvRQhdJzcePcQV,北平制冰厂(喜悦商场店),256条评价,￥21,饮品店,王府井/东单,https://www.dianping.com/shop/H4FvRQhdJzcePcQV,https://img.meituan.net/content/9f03728f0cc9dc68939178bd67c95131329733.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l8QoRMlt2nk4SEEl,野人先生现做冰淇淋(北京合生汇店),5627条评价,￥31,冰淇淋,大望路,https://www.dianping.com/shop/l8QoRMlt2nk4SEEl,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H30x2xjKH4cHnuGj,THE MATCHA TOKYO今抹京茶(西直门凯德mall店),757条评价,￥35,饮品店,西直门/动物园,https://www.dianping.com/shop/H30x2xjKH4cHnuGj,https://img.meituan.net/content/ac72367e570d44abafbeb0774cf27ad4691127.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k58Css87lwyNEzHc,野人先生现做冰淇淋(北京首钢园六工汇店),599条评价,￥28,冰淇淋,石景山区,https://www.dianping.com/shop/k58Css87lwyNEzHc,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k8Ohp9Hdosi4IHCn,北海道冰淇淋(斯普瑞斯奥特莱斯店),22条评价,￥22,冰淇淋,金盏,https://www.dianping.com/shop/k8Ohp9Hdosi4IHCn,http://p0.meituan.net/poipicadd/010bbf56a4f3049c93cbe826d561c048556251.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k7eA2871bLfM2HUe,方庄大奶站,260条评价,￥28,零食,方庄/蒲黄榆,https://www.dianping.com/shop/k7eA2871bLfM2HUe,http://qcloud.dpfile.com/pc/VPGVz6WY-qeQylqbdPIPc36ctK6IEu6g-_U97d0XvFbzrC8Y-b3mDZCktYnLeqgcbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
iaqSzOuBLNyr6IBg,DQ·蛋糕·冰淇淋(合生汇店),9632条评价,￥21,冰淇淋,百子湾,https://www.dianping.com/shop/iaqSzOuBLNyr6IBg,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G22eijI3NNtjB5xY,麦当劳(北京首开万象汇店),72条评价,￥37,西式快餐,宋庄,https://www.dianping.com/shop/G22eijI3NNtjB5xY,https://img.meituan.net/content/4eb7d42af7bab89a5c593940e5be4e4a158146.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l7Cs1FEIuz9mf2zq,吴裕泰(荟聚购物中心店),418条评价,￥15,烟酒茶叶,西红门,https://www.dianping.com/shop/l7Cs1FEIuz9mf2zq,http://p0.meituan.net/poipicadd/061b3ce11bd0f9a8999480132425105d792890.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
G8YZ5U2MxhrXnJ8e,THE MATCHA TOKYO今抹京茶(北京首店),1971条评价,￥36,茶饮果汁,国贸/建外,https://www.dianping.com/shop/G8YZ5U2MxhrXnJ8e,https://img.meituan.net/content/ac72367e570d44abafbeb0774cf27ad4691127.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l3dVYp8Dgv78LFV9,杏一豆腐(北京首店),98条评价,￥25,甜品,东大桥,https://www.dianping.com/shop/l3dVYp8Dgv78LFV9,https://img.meituan.net/content/54b3ba6d05b5d27a2b2d6bfe52436f6456255.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
Ga59PTBXX3TewOLv,和平菓局(王府井店),16552条评价,￥0,休闲街区,王府井/东单,https://www.dianping.com/shop/Ga59PTBXX3TewOLv,https://p0.meituan.net/ugcpic/38e821bea3165c139dbe73ff59ed217e%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
G4A5MLFUlFwypzgD,野人先生现做冰淇淋(北京怀柔万达店),412条评价,￥29,冰淇淋,怀柔城区,https://www.dianping.com/shop/G4A5MLFUlFwypzgD,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7i6psuxeBFyHbym,麦当劳(怀柔店),871条评价,￥29,西式快餐,商业街,https://www.dianping.com/shop/l7i6psuxeBFyHbym,https://img.meituan.net/content/4eb7d42af7bab89a5c593940e5be4e4a158146.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
kar4hDRshJzUhx0I,扑扑 PUPU(798店),2764条评价,￥60,甜品,酒仙桥,https://www.dianping.com/shop/kar4hDRshJzUhx0I,https://p0.meituan.net/biztone/efd06f7e5879b094ff473aa033fd90ec324007.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8Bq0AlaUprBIfNq,GODIVA(大兴机场店),494条评价,￥53,冰淇淋,大兴区,https://www.dianping.com/shop/l8Bq0AlaUprBIfNq,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H3voOQHfME97yALF,VENCHI闻绮(北京合生汇店),1371条评价,￥74,甜品,大望路,https://www.dianping.com/shop/H3voOQHfME97yALF,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k86kGmYZYifyIXIp,肯德基(机场三店),2145条评价,￥31,西式快餐,首都机场,https://www.dianping.com/shop/k86kGmYZYifyIXIp,http://p0.meituan.net/biztone/1454822468_1681525004008.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jgo4WCM9uILOWp6e,DQ·蛋糕·冰淇淋(怀柔万达店),1016条评价,￥21,冰淇淋,商业街,https://www.dianping.com/shop/jgo4WCM9uILOWp6e,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
HacpH5FS4wqw24l1,野人牧坊Gelato(北京密云万象汇店),228条评价,￥28,冰淇淋,密云县县城,https://www.dianping.com/shop/HacpH5FS4wqw24l1,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5s2ymuVndxCrKEk,Shake Shack(三里屯店),20179条评价,￥82,西式快餐,三里屯/工体,https://www.dianping.com/shop/G5s2ymuVndxCrKEk,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k53Yv9VCWjJrFXUK,北平制冰厂(王府井奥莱店),254条评价,￥23,冰淇淋,南苑/东高地,https://www.dianping.com/shop/k53Yv9VCWjJrFXUK,https://img.meituan.net/content/16436d03c9b84e2ea26e8003c5672280328951.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H17WHvExT2cwGjna,DQ·蛋糕·冰淇淋(国际机场店),471条评价,￥24,冰淇淋,大兴区,https://www.dianping.com/shop/H17WHvExT2cwGjna,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7kugq5madkKXZyF,油梨树AVOCADO TREE(侨福芳草地店),1648条评价,￥52,西餐,东大桥,https://www.dianping.com/shop/k7kugq5madkKXZyF,http://p0.meituan.net/merchant/c5afa8a5766091588d8c8084c5ff25a236944.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k9jOpsjsdqferSDh,麦当劳(永兴路店),1423条评价,￥29,西式快餐,龙湖天街购物中心,https://www.dianping.com/shop/k9jOpsjsdqferSDh,https://img.meituan.net/content/4eb7d42af7bab89a5c593940e5be4e4a158146.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G9XheboH5EQsCzaa,廿一客21cake(兴海二街店),354条评价,￥179,面包烘焙,亦庄龙湖天街,https://www.dianping.com/shop/G9XheboH5EQsCzaa,http://p0.meituan.net/biztone/83a11ff5434840a4aba507c3bf14638c246944.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
YuOGNmmQLbg26tu9,北平制冰厂(六工汇店),1732条评价,￥22,冰淇淋,石景山区,https://www.dianping.com/shop/YuOGNmmQLbg26tu9,http://p0.meituan.net/biztone/8ab24bb848b19bf5c8f929b12eb8e77a125749.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l5iNJ1yH2SfyQ2jq,Pierre Marcolini(国贸商城店),674条评价,￥233,甜品,国贸/建外,https://www.dianping.com/shop/l5iNJ1yH2SfyQ2jq,http://p1.meituan.net/biztone/1435584061_1660616981746.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
Ga5o82vqJEs4NNTg,DQ·蛋糕·冰淇淋(天水大街店),1560条评价,￥23,冰淇淋,龙湖天街购物中心,https://www.dianping.com/shop/Ga5o82vqJEs4NNTg,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l1nXHLRt3c7Asrww,北野家·生乳舒芙蕾专门店(首开通州万象汇B1店),168条评价,￥31,甜品,通州区,https://www.dianping.com/shop/l1nXHLRt3c7Asrww,https://p0.meituan.net/biztone/3fa56a6b0137d49e6a981403ad9bd258153982.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H2evTfaXOpbb0gHB,fufuland·生乳舒芙蕾(thebox朝外店),363条评价,￥25,甜品,朝外大街,https://www.dianping.com/shop/H2evTfaXOpbb0gHB,https://img.meituan.net/content/a2454e21ec68cc157d55a8233f0842c260251.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8O071TXJ15NekIk,DQ·蛋糕·冰淇淋(滨河路店),1232条评价,￥20,冰淇淋,密云县县城,https://www.dianping.com/shop/H8O071TXJ15NekIk,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k50kcJIuMUjvVe02,ZAKUZAKU＆FOOM(三里屯店),3643条评价,￥36,咖啡厅,三里屯/工体,https://www.dianping.com/shop/k50kcJIuMUjvVe02,https://img.meituan.net/content/4a7592a8ee127663921e96a9dfc0b3c9223740.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l2T3qaYflOeCNPzM,尹三豆汁(隆福寺直营店),3511条评价,￥31,京菜,东四,https://www.dianping.com/shop/l2T3qaYflOeCNPzM,https://img.meituan.net/content/51f3343305b8ef803770576abe656e9f382511.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3rim9mchiK5yJKf,GODIVA(北京赛特奥莱店),124条评价,￥63,冰淇淋,马泉营,https://www.dianping.com/shop/H3rim9mchiK5yJKf,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7jZbsNID68BvkV9,好利来(大兴机场店),370条评价,￥44,面包烘焙,大兴区,https://www.dianping.com/shop/H7jZbsNID68BvkV9,http://p0.meituan.net/xianfu/0dff28633d42242f9d844de6f36078fd7275.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k8tVjgbLdFxUyjkh,Shake Shack(国贸商城店),4891条评价,￥80,西式快餐,国贸/建外,https://www.dianping.com/shop/k8tVjgbLdFxUyjkh,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5nKe918deZWHBBy,KUMO KUMO(北京望京万象汇店),140条评价,￥41,甜品,望京,https://www.dianping.com/shop/G5nKe918deZWHBBy,https://img.meituan.net/content/f623b0c40851651151a55b8413b74270168068.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6VcA4JcAD2OTPb5,ZAKUZAKU(合生汇店),569条评价,￥34,面包烘焙,九龙山,https://www.dianping.com/shop/G6VcA4JcAD2OTPb5,https://img.meituan.net/content/4a7592a8ee127663921e96a9dfc0b3c9223740.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k3RF8UG3TIZbXIy7,GODIVA(北京合生汇店),988条评价,￥54,冰淇淋,大望路,https://www.dianping.com/shop/k3RF8UG3TIZbXIy7,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6VzpqyQyQVZ6uie,OUR bakery(中粮祥云小镇店),2586条评价,￥57,面包烘焙,,https://www.dianping.com/shop/H6VzpqyQyQVZ6uie,https://img.meituan.net/msmerchant/66efd27d7363643c5921f7d48d2b03896764934.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k712SlVKjedhQE1X,野人先生现做冰淇淋(北京顺义祥云小镇店),999条评价,￥32,冰淇淋,,https://www.dianping.com/shop/k712SlVKjedhQE1X,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6y4GxYOfY9U4med,尹三豆汁(前门旗舰店),3317条评价,￥33,老北京小吃,前门/大栅栏,https://www.dianping.com/shop/k6y4GxYOfY9U4med,https://img.meituan.net/content/51f3343305b8ef803770576abe656e9f382511.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l4atL5aKP3V5qgdq,LUNEURS月乐诗 全日厨房(THE BOX 朝外店),1466条评价,￥72,西餐,东大桥,https://www.dianping.com/shop/l4atL5aKP3V5qgdq,https://img.meituan.net/content/a97bacc0ff144de287f1cc036d1315d2324307.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5uT93YZT2A6E3hP,KUMOKUMO(北京世纪金源店),242条评价,￥41,面包烘焙,远大路,https://www.dianping.com/shop/k5uT93YZT2A6E3hP,https://img.meituan.net/content/f623b0c40851651151a55b8413b74270168068.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l87K5IFoZ4Bpbn4i,GODIVA(望京凯德MALL店),1242条评价,￥53,冰淇淋,望京,https://www.dianping.com/shop/l87K5IFoZ4Bpbn4i,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
FvwAjavXTWK0kPbn,ZAKUZAKU＆FOOM(国贸商城店),1451条评价,￥37,甜品,国贸/建外,https://www.dianping.com/shop/FvwAjavXTWK0kPbn,https://img.meituan.net/content/4a7592a8ee127663921e96a9dfc0b3c9223740.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3PHv3eDy89FPhXf,红星前进面包牛奶公司(华贸天地店),479条评价,￥35,面包烘焙,北苑家园,https://www.dianping.com/shop/l3PHv3eDy89FPhXf,https://img.meituan.net/content/f2cc0c7c2b5cf1188a41206185a5c96e74236.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3PSkXF55S5YAqk4,Shake Shack(大兴店),2822条评价,￥63,西式快餐,西红门,https://www.dianping.com/shop/l3PSkXF55S5YAqk4,https://img.meituan.net/content/dd73b25f59e728288fc3e332036f3147184482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2QE3FQneeAa4Qwp,KPRO(环球城市大道店),1304条评价,￥59,西式快餐,通州区,https://www.dianping.com/shop/G2QE3FQneeAa4Qwp,http://p0.meituan.net/biztone/5b71ae1fe5c075087238a0acc327853d2365607.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G3HC1ShA13yeTSpy,Potato Sets(王府井喜悦店),497条评价,￥25,西餐,王府井/东单,https://www.dianping.com/shop/G3HC1ShA13yeTSpy,http://p1.meituan.net/merchant/08631fe371ca09b2f683acaf8bbe4ea5113425.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
