店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G7rnWbzMZtFDM7qs,小狮同学冰淇淋(大庆外国语店),7条评价,￥9,冰淇淋,乘风庄,https://www.dianping.com/shop/G7rnWbzMZtFDM7qs,https://img.meituan.net/content/52f323d776d18d1a66278e3fb9f8c12e97151.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H5XxGniDAbwvnBmv,禧棠·CAKE动物奶油冰激淋蛋糕,5条评价,￥0,面包烘焙,联想科技城,https://www.dianping.com/shop/H5XxGniDAbwvnBmv,https://p0.meituan.net/biztone/bead8525a9de074f91f000d0a8e09351151095.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k6K5J7mdA3eb2Ja0,茶言欢笑奶茶冰淇淋,-,￥6,冰淇淋,龙凤区,https://www.dianping.com/shop/k6K5J7mdA3eb2Ja0,http://p0.meituan.net/poipicadd/e2e597463a8dcc198d8c38941e22143b216424.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
H4wSuBlRIFgZeD4R,爽心冰糕冰淇淋,-,￥0,冰淇淋,肇源县中心城区,https://www.dianping.com/shop/H4wSuBlRIFgZeD4R,http://p0.meituan.net/mogu/95ce6e6a196dd4497f68b43ac615e0d7875856.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
G3xC0Kft5FAoOe87,品畔屋冰棍,3条评价,￥10,冰淇淋,新玛特,https://www.dianping.com/shop/G3xC0Kft5FAoOe87,http://p0.meituan.net/merchant/3cf22615f2bce3be5186f62909e20125282011.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H8l2W0cI2unbflGG,完达山乳此新鲜(大庆让区万达总店),43条评价,￥13,茶饮果汁,阳光嘉城,https://www.dianping.com/shop/H8l2W0cI2unbflGG,https://p0.meituan.net/biztone/2a109a7968cccc6a16704acdb3771c60876020.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaJM5ThfGQszJIch,新风冰淇淋,2条评价,￥0,冰淇淋,南环大街,https://www.dianping.com/shop/GaJM5ThfGQszJIch,http://p1.meituan.net/deal/e755000188ae3103dcbc08a29b8799d3361783.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.0
G9cKd3EQyNKaHZ1I,福德来冰淇淋,-,￥0,冰淇淋,肇州县中心城区,https://www.dianping.com/shop/G9cKd3EQyNKaHZ1I,http://p0.meituan.net/poipicadd/06821f1128cbdb00cbd39f41d9ec7557254965.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
k1HhULWV6kedJXwX,周丫丫冰淇淋批发(学伟绿色家园店),14条评价,￥26,冰淇淋,学伟鑫城,https://www.dianping.com/shop/k1HhULWV6kedJXwX,http://p0.meituan.net/merchant/7b30a3b24fb518f63849c11deaae60eb284168.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
jSVGa26qXCNrExeh,冰凝雪冰淇淋雪糕店,-,￥0,冰淇淋,开发区,https://www.dianping.com/shop/jSVGa26qXCNrExeh,http://p0.meituan.net/merchant/8a347181148e43df3da3b60c4049fee3152424.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
