店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k6VFn2cNFEWJ9Xso,肯德基(南京天安数码城店),86条评价,￥35,西式快餐,秦淮区,https://www.dianping.com/shop/k6VFn2cNFEWJ9Xso,https://img.meituan.net/content/0e35568513be996f4b936df7a92307de114434.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
FBfiAJNmLuCNMOq9,KOI PLUS(万象天地店),713条评价,￥27,茶饮果汁,夫子庙地区,https://www.dianping.com/shop/FBfiAJNmLuCNMOq9,https://img.meituan.net/content/2e08ea97ea5e46d570cd326a4f72fb0e359657.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G1gVOHqxAjCdCAKn,鸭川食堂(D9街区店),2637条评价,￥140,日本料理,曼度嘉年华/长江路,https://www.dianping.com/shop/G1gVOHqxAjCdCAKn,https://img.meituan.net/content/4bd08c6d99760863ec43ca61ecbf07fa275895.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k6ldxUYq8htGwIu2,汉堡王(南京江苏电视台店),2663条评价,￥29,西式快餐,珠江路沿线,https://www.dianping.com/shop/k6ldxUYq8htGwIu2,https://img.meituan.net/content/29345cf76350d7d96a091dee5e469017164687.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8RrtoNBam2zTECv,喜牛锅·和牛寿喜烧放题(雨山龙湖天街店),622条评价,￥134,自助餐,江浦,https://www.dianping.com/shop/H8RrtoNBam2zTECv,https://img.meituan.net/content/27fd40216517d720a86df9a4939d66a7108616.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H9bSZ1UPMzF6t6Cf,鮨扇·YISHAN料理·焼鳥(天安数码城店),453条评价,￥155,日本料理,秦淮区,https://www.dianping.com/shop/H9bSZ1UPMzF6t6Cf,https://p0.meituan.net/biztone/54ae7b565e3a222ce2bbcbaae60c6a2f209646.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l1r8RGQSMLC0UJJt,肯德基(绿洲店),343条评价,￥28,西式快餐,江宁滨江开发区,https://www.dianping.com/shop/l1r8RGQSMLC0UJJt,https://img.meituan.net/content/0e35568513be996f4b936df7a92307de114434.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k2D1vqhLm1zqT19A,啦啦泡芙,1265条评价,￥15,甜品,草场门/龙江,https://www.dianping.com/shop/k2D1vqhLm1zqT19A,http://qcloud.dpfile.com/pc/J8h3diqTuqmhlETPpuEm9dr9R1-rPlMGsXQu_WF4HicnC5tacyrnsfycSXExtz4DbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
H10Rp18iWhCqgmkW,鲜芋仙(河西万达西地店),1273条评价,￥26,甜品,河西,https://www.dianping.com/shop/H10Rp18iWhCqgmkW,https://img.meituan.net/content/ca01a1f49b30de39b665ff607dca823696377.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l2zfvMNmrDLLlxqs,茉沏(南信大店),48条评价,￥16,茶饮果汁,南京信息工程大学,https://www.dianping.com/shop/l2zfvMNmrDLLlxqs,https://img.meituan.net/content/c66f8522fc6ce344f1e3fb689f7c5f6c112754.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
