店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H9WR4bjTR1A9xlJH,陈记老海南椰奶清补凉(高新万达金街店),48条评价,￥9,冰淇淋,万达广场,https://www.dianping.com/shop/H9WR4bjTR1A9xlJH,https://p0.meituan.net/biztone/de7dbc0e55ee73d3682d52d4a8daf876397841.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7LMhLZcvc2qBjiY,糖必妮蛋糕·甜点(万达店),87条评价,￥20,面包烘焙,万达广场,https://www.dianping.com/shop/k7LMhLZcvc2qBjiY,https://img.meituan.net/msmerchant/a76542cf496884b6a3ed87732bb28d95212213.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
EGR3MV6mSHUcnliy,茶百道(桂林理工大学店),149条评价,￥13,茶饮果汁,理工大学屏风校区,https://www.dianping.com/shop/EGR3MV6mSHUcnliy,https://img.meituan.net/content/8f0d90b89eed37cc1eb2c5a15bbcaee992411.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
F3AYGGDmsxtR7gpj,ihome大家庭(乐群店),30条评价,￥19,面包烘焙,中心广场/两江四湖,https://www.dianping.com/shop/F3AYGGDmsxtR7gpj,https://img.meituan.net/content/325c9971271244a4f7ab175ad1a686f8234106.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H1vLFV8wwltbsjmk,曾小白·生日蛋糕(大河乡店),25条评价,￥7,面包烘焙,叠彩万达广场,https://www.dianping.com/shop/H1vLFV8wwltbsjmk,https://img.meituan.net/content/c3c890c50666a38e8a1c7b97e562c2c7104037.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l63q5F9AE2LomVLH,小沫优焙熊·创意生日蛋糕定制(苗圃路店),21条评价,￥32,面包烘焙,桂林站,https://www.dianping.com/shop/l63q5F9AE2LomVLH,https://img.meituan.net/content/06c20472be29bece2ed8a3d55acae211571588.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
kaqRSc4QcDXJLYyg,糕小爱·动物奶油生日蛋糕定制(临桂总店),791条评价,￥77,面包烘焙,临桂区中心城区,https://www.dianping.com/shop/kaqRSc4QcDXJLYyg,https://img.meituan.net/content/d6b54be3f8f6d3af8cf4f46ca17006ea97516.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l9tMHoNTrWuh0dAL,糕小爱·动物奶油生日蛋糕定制(桂林三里店总店),5353条评价,￥23,面包烘焙,广西师大/三里店广场,https://www.dianping.com/shop/l9tMHoNTrWuh0dAL,https://img.meituan.net/content/d6b54be3f8f6d3af8cf4f46ca17006ea97516.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8jOeYV4sppCwVOj,糕小爱·动物奶油生日蛋糕定制(桂林万象城店),297条评价,￥43,面包烘焙,桂林站,https://www.dianping.com/shop/H8jOeYV4sppCwVOj,https://img.meituan.net/content/d6b54be3f8f6d3af8cf4f46ca17006ea97516.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G3SAcDdEwqyweTI9,九亩花田手工吐司(会仙路店),101条评价,￥27,面包烘焙,广西师大/三里店广场,https://www.dianping.com/shop/G3SAcDdEwqyweTI9,http://p0.meituan.net/deal/ba414e3645206f8ba51d9bcb93695be660933.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
