店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G7H7iMgz98FXltx6,费昂丝手工冰淇淋(4楼店),81条评价,￥14,冰淇淋,红旗街,https://www.dianping.com/shop/G7H7iMgz98FXltx6,http://p0.meituan.net/merchant/ceda10b663429eee26e8c5da8e728d77347364.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G3Y2uVYlYZJdARg6,LACOLA意式手工冰淇淋(摩天活力城店),12条评价,￥42,冰淇淋,珠海路/经济开发区,https://www.dianping.com/shop/G3Y2uVYlYZJdARg6,https://p0.meituan.net/biztone/f07cf4313e8c79c79f887645f2b92635297393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k6JrZD8oIGyF9oPV,九十葉·抹茶专门店(长春·万象城店),334条评价,￥44,冰淇淋,人民广场,https://www.dianping.com/shop/k6JrZD8oIGyF9oPV,https://img.meituan.net/content/b3e7abd59f0aa155ed52106274bb3a4650302.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H1oUlFSV0VUgWLa7,野人牧坊Gelato(长春万象城店),152条评价,￥26,冰淇淋,南岭,https://www.dianping.com/shop/H1oUlFSV0VUgWLa7,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaUBvZbQfzO6Mt4T,罗曼林冰淇淋(红旗街万达店),115条评价,￥15,冰淇淋,红旗街,https://www.dianping.com/shop/kaUBvZbQfzO6Mt4T,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6Uqb5WYKmK2UgDd,费昂丝手工冰淇淋(欧亚卖场店),35条评价,￥13,冰淇淋,欧亚卖场,https://www.dianping.com/shop/k6Uqb5WYKmK2UgDd,https://p0.meituan.net/biztone/d92555d19560da9a9bdf83ffaf122f73750773.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G7ZPQFAI0ztrMmGj,無印家,1652条评价,￥41,甜品,桂林路,https://www.dianping.com/shop/G7ZPQFAI0ztrMmGj,http://p1.meituan.net/merchant/823a867c62a28abf3735524aab466ad481154.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H7HOkRUmmyjLjBCk,LUNEURS月乐诗 冰淇淋咖啡(万象城店),31条评价,￥36,冰淇淋,全安广场,https://www.dianping.com/shop/H7HOkRUmmyjLjBCk,http://p1.meituan.net/poipicadd/3a22d8f3181363c562d9778c7dd2cd06329980.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5UyNp0QTOt0MFn0,小姑娘冰淇淋(新天地购物公园店),51条评价,￥8,冰淇淋,新春,https://www.dianping.com/shop/k5UyNp0QTOt0MFn0,http://p1.meituan.net/xianfu/d039d3842cd995844b9f4d1b3ac51c32288768.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k1TeqfUikvwsPwBX,野人牧坊Gelato(长春活力城店),291条评价,￥35,冰淇淋,珠海路/经济开发区,https://www.dianping.com/shop/k1TeqfUikvwsPwBX,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2KZTFzcfZZqW1Ou,费昂丝手工冰淇淋(新天地店),76条评价,￥18,冰淇淋,新天地购物公园,https://www.dianping.com/shop/H2KZTFzcfZZqW1Ou,http://p1.meituan.net/poipicadd/06dafdfc862a2024936e07f175b284e7439248.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
ka0SDyLfYOEhzBPc,1976冷食冰铺(国信·南湖公馆南区店),11条评价,￥13,冰淇淋,湖西路,https://www.dianping.com/shop/ka0SDyLfYOEhzBPc,http://p1.meituan.net/merchant/16103c9d4c9426b30a800f089e2608ea956726.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k1hYoWANlAfwHJXK,小姑娘冰淇淋冰糖葫芦(绿园吾悦广场店),57条评价,￥15,冰淇淋,吾悦广场,https://www.dianping.com/shop/k1hYoWANlAfwHJXK,http://p0.meituan.net/merchant/6dcdd23fb975b5ca04e02bf3306797c0318824.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l2ZaV2yLA2L6HiTr,% Arabica阿拉比卡咖啡(长春万象城店),1310条评价,￥47,咖啡厅,全安广场,https://www.dianping.com/shop/l2ZaV2yLA2L6HiTr,http://p0.meituan.net/biztone/189756977_1706247050347.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l5SZszfFSHcB5w2u,小姑娘冰淇淋(欧亚商都店),15条评价,￥10,冰淇淋,红旗街,https://www.dianping.com/shop/l5SZszfFSHcB5w2u,http://p0.meituan.net/merchant/6f2f4068193e804511d9becce8eae06928385.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G7j8DPWSlpSisHHR,KUMO KUMO(长春首店),356条评价,￥41,甜品,珠海路/经济开发区,https://www.dianping.com/shop/G7j8DPWSlpSisHHR,https://img.meituan.net/content/f623b0c40851651151a55b8413b74270168068.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k1jde8szZVZ3Y3Ts,国王冰室,3850条评价,￥87,西餐,红旗街,https://www.dianping.com/shop/k1jde8szZVZ3Y3Ts,http://p0.meituan.net/biztone/1979142301_1655803306512.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k2jRwVuEVzkki0WS,野人牧坊Gelato(长春红旗街万达店),615条评价,￥31,冰淇淋,红旗街,https://www.dianping.com/shop/k2jRwVuEVzkki0WS,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l8MdiSbwq63mJJ3c,MOMOPUFF(重庆路活力城店),270条评价,￥20,甜品,吉大二院/活力城,https://www.dianping.com/shop/l8MdiSbwq63mJJ3c,https://img.meituan.net/content/e58bc591bc5465ad7dde82e2347b08fe417095.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G4NS7yhcQSTbCeal,ICE小姑娘冰淇淋,36条评价,￥15,冰淇淋,朝阳区,https://www.dianping.com/shop/G4NS7yhcQSTbCeal,http://p0.meituan.net/merchant/63e379494005d8f4ed2f247dc382bc6d13742.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G8lxVnYFLjkAJacX,诸事皆宜GELATO,25条评价,￥29,冰淇淋,桂林路,https://www.dianping.com/shop/G8lxVnYFLjkAJacX,https://p0.meituan.net/biztone/ef382fed2db8b43cfb9e6ef5aaba4c8d102603.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l2E8POKmGqspepTC,momo PUFF(摩天活力城店),833条评价,￥27,甜品,珠海路/经济开发区,https://www.dianping.com/shop/l2E8POKmGqspepTC,http://p0.meituan.net/biztone/1363076699_1681485926547.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9zw5wlf2EbjphNu,小姑娘冰淇淋(长春韩国商业街店),1234条评价,￥9,冰淇淋,桂林路,https://www.dianping.com/shop/G9zw5wlf2EbjphNu,http://p0.meituan.net/deal/7b27fd41c3f5424f71a05f131e47472152694.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
